id,lat,lon,user,uid,version,changeset,timestamp
1319040992,43.5217570,1.2595450,Chouloute,306172,1,8398351,2011-06-10T15:46:27Z
1319041026,43.5257280,1.2631070,Chouloute,306172,1,8398351,2011-06-10T15:46:29Z
1319041052,43.5220650,1.2600970,Chouloute,306172,1,8398351,2011-06-10T15:46:30Z
1319041095,43.5221860,1.2538040,Chouloute,306172,1,8398351,2011-06-10T15:46:31Z
1319041131,43.5307580,1.2661900,Chouloute,306172,1,8398351,2011-06-10T15:46:32Z
1319041156,43.5288690,1.2623630,Chouloute,306172,1,8398351,2011-06-10T15:46:33Z
1319041181,43.5221380,1.2543360,Chouloute,306172,1,8398351,2011-06-10T15:46:34Z
1319041205,43.5259350,1.2623520,Chouloute,306172,1,8398351,2011-06-10T15:46:35Z
1319041229,43.5209970,1.2647100,Chouloute,306172,1,8398351,2011-06-10T15:46:36Z
1319041253,43.5218210,1.2685310,Chouloute,306172,1,8398351,2011-06-10T15:46:37Z
1319041278,43.5177830,1.2201580,Chouloute,306172,1,8398351,2011-06-10T15:46:39Z
1319041304,43.5225250,1.2685790,Chouloute,306172,1,8398351,2011-06-10T15:46:40Z
1319041335,43.5206970,1.2644830,Chouloute,306172,1,8398351,2011-06-10T15:46:41Z
1319041390,43.5232760,1.2613320,Chouloute,306172,1,8398351,2011-06-10T15:46:42Z
1319041436,43.5305940,1.2629200,Chouloute,306172,1,8398351,2011-06-10T15:46:43Z
1319041483,43.5219646,1.2605600,Chouloute,306172,1,8398351,2011-06-10T15:46:44Z
1319041531,43.5251550,1.2611040,Chouloute,306172,1,8398351,2011-06-10T15:46:45Z
1319041573,43.5230870,1.2591310,Chouloute,306172,1,8398351,2011-06-10T15:46:46Z
1319041629,43.5215980,1.2511230,Chouloute,306172,1,8398351,2011-06-10T15:46:53Z
1319041652,43.5166320,1.2277160,Chouloute,306172,1,8398351,2011-06-10T15:46:54Z
1319041682,43.5181690,1.2512880,Chouloute,306172,1,8398351,2011-06-10T15:46:55Z
1319041710,43.5164220,1.2294090,Chouloute,306172,1,8398351,2011-06-10T15:46:57Z
1319041732,43.5210540,1.2534050,Chouloute,306172,1,8398351,2011-06-10T15:46:58Z
1319041757,43.5174250,1.2222990,Chouloute,306172,1,8398351,2011-06-10T15:46:59Z
1319041829,43.5196620,1.2697360,Chouloute,306172,1,8398351,2011-06-10T15:47:00Z
1319041887,43.5223030,1.2554430,Chouloute,306172,1,8398351,2011-06-10T15:47:02Z
1319041927,43.5223140,1.2685940,Chouloute,306172,1,8398351,2011-06-10T15:47:02Z
1319041980,43.5184820,1.2492950,Chouloute,306172,1,8398351,2011-06-10T15:47:04Z
1319042026,43.5216290,1.2586970,Chouloute,306172,1,8398351,2011-06-10T15:47:05Z
1319042070,43.5203610,1.2459330,Chouloute,306172,1,8398351,2011-06-10T15:47:06Z
1319042125,43.5144141,1.2357352,Chouloute,306172,1,8398351,2011-06-10T15:47:08Z
1319042174,43.5204660,1.2466310,Chouloute,306172,1,8398351,2011-06-10T15:47:09Z
1319042236,43.5222410,1.2606840,Chouloute,306172,1,8398351,2011-06-10T15:47:10Z
1319042285,43.5220390,1.2613010,Chouloute,306172,1,8398351,2011-06-10T15:47:12Z
1319042345,43.5192850,1.2698720,Chouloute,306172,1,8398351,2011-06-10T15:47:13Z
1319042411,43.5210550,1.2543690,Chouloute,306172,1,8398351,2011-06-10T15:47:14Z
1319042475,43.5218420,1.2550930,Chouloute,306172,1,8398351,2011-06-10T15:47:15Z
1319042528,43.5181340,1.2508940,Chouloute,306172,1,8398351,2011-06-10T15:47:17Z
1319042575,43.5218430,1.2551700,Chouloute,306172,1,8398351,2011-06-10T15:47:22Z
1319042607,43.5216320,1.2585580,Chouloute,306172,1,8398351,2011-06-10T15:47:24Z
1319042633,43.5243250,1.2685550,Chouloute,306172,1,8398351,2011-06-10T15:47:25Z
